timestamp,latency_ms,jitter_ms,bandwidth_mbps
2026-05-29 01:40:22,1.93,0.605,0.0
2026-05-29 01:40:25,2.0,0.0,6.4e-05
2026-05-29 01:40:28,5.46,2.731,7.7e-05
2026-05-29 01:40:31,4.54,5.363,8.8e-05
2026-05-29 01:40:34,3.39,5.334,9.2e-05
2026-05-29 01:40:37,3.42,6.033,9.7e-05
2026-05-29 01:40:40,1.39,6.062,9.6e-05
2026-05-29 01:40:43,4.41,6.234,0.0001
2026-05-29 01:40:46,4.84,6.598,9.8e-05
2026-05-29 01:40:49,6.49,6.771,0.000105
2026-05-29 01:40:52,4.86,6.214,0.000126
2026-05-29 01:40:55,0.97,6.175,0.000127
2026-05-29 01:40:58,5.34,6.208,0.000122
2026-05-29 01:41:01,3.36,6.323,0.000109
2026-05-29 01:41:04,2.99,6.794,0.000121
2026-05-29 01:41:07,1.53,6.345,0.000124
2026-05-29 01:41:10,3.21,6.12,0.000114
2026-05-29 01:41:14,3.5,6.495,0.000101
2026-05-29 01:41:17,3.54,6.927,0.00012
2026-05-29 01:41:20,2.78,6.256,0.000137
2026-05-29 01:41:23,3.95,6.025,0.000126
2026-05-29 01:41:26,5.53,6.192,0.000112
2026-05-29 01:41:29,4.69,6.502,0.000115
2026-05-29 01:41:32,3.99,5.981,0.000106
2026-05-29 01:41:35,7.1,6.183,0.000122
2026-05-29 01:41:38,5.88,5.73,0.000118
2026-05-29 01:41:41,6.41,5.339,0.00012
2026-05-29 01:41:44,5.56,5.759,0.000116
2026-05-29 01:41:47,5.92,6.049,0.000115
2026-05-29 01:41:50,1.39,5.603,0.000109
2026-05-29 01:41:53,1.36,6.243,0.000121
