Scenario,Controller,Avg Reward,Std Reward,Avg NH3 %,Avg Energy,pH Safe %,OFF %,LOW %,MED %,HIGH %
Normal,Rule-Based,2.4453,0.0930,3.049,0.300,100.0,0.0,100.0,0.0,0.0
Acid Crash,Rule-Based,1.3892,0.5318,0.157,0.502,39.2,0.0,39.2,55.9,4.9
Alkaline Spike,Rule-Based,-2.6876,0.2597,53.735,0.600,0.0,0.0,0.0,100.0,0.0
Cold Stress,Rule-Based,2.5691,0.1113,1.636,0.300,99.8,0.0,99.8,0.2,0.0
Heat Stress,Rule-Based,0.6466,0.5935,10.761,0.461,94.6,0.0,46.3,53.7,0.0
High NH3 Danger,Rule-Based,-1.9134,0.9573,40.554,0.583,11.7,0.0,5.7,94.3,0.0
Multi-Stress Grid,Rule-Based,0.9187,1.6049,10.129,0.423,64.9,0.0,59.5,40.1,0.4
Normal,FQL,2.3698,0.0627,3.471,0.337,100.0,0.0,87.5,12.4,0.0
Acid Crash,FQL,1.6979,0.6663,0.549,0.624,70.8,0.0,26.4,47.8,25.8
Alkaline Spike,FQL,-2.6651,0.4822,53.558,0.669,0.8,0.0,19.1,49.4,31.5
Cold Stress,FQL,2.4677,0.0461,1.822,0.387,99.9,0.0,72.7,26.1,1.2
Heat Stress,FQL,0.5874,0.5468,9.757,0.451,97.0,0.0,75.8,4.6,19.6
High NH3 Danger,FQL,-1.9382,0.8970,40.409,0.556,9.4,0.0,52.6,19.0,28.4
Multi-Stress Grid,FQL,1.2808,1.4089,10.089,0.427,78.2,0.0,67.6,25.0,7.4
Normal,DQN,2.4453,0.0930,3.049,0.300,100.0,0.0,100.0,0.0,0.0
Acid Crash,DQN,1.0219,0.4805,0.131,0.426,19.5,0.0,82.0,0.0,17.9
Alkaline Spike,DQN,-2.2030,0.3072,44.096,0.300,0.0,0.0,100.0,0.0,0.0
Cold Stress,DQN,2.5695,0.1099,1.635,0.300,99.8,0.0,100.0,0.0,0.0
Heat Stress,DQN,0.1124,0.5186,10.054,0.406,97.2,0.0,75.9,15.7,8.4
High NH3 Danger,DQN,-1.4655,0.8566,32.026,0.326,24.0,0.0,93.2,5.5,1.3
Multi-Stress Grid,DQN,1.6658,1.0196,7.053,0.312,85.0,0.0,97.8,1.0,1.3
